RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note,,,
Aramco_4202938492,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBZR7Tc2&awcharset=UTF-8,"Duaig, Hmood",05/11/2020 02:47 PM,05/13/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202970101,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBm0SB%21g&awcharset=UTF-8,"Alsaeedi, Tariq",10/11/2020 09:21 AM,10/11/2020 07:30 PM,RFP,,No,,,,,
Aramco_4202986294,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBo87JMy&awcharset=UTF-8,"Muhaisin, Hind",11/11/2020 09:21 AM,01/17/2021 07:30 PM,RFP,,No,,,,,
Aramco_4202921206,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBTBt3oZ&awcharset=UTF-8,"Jindan, Hassan",03/12/2020 07:30 AM,03/19/2020 01:45 PM,RFP,,No,,,,,
Aramco_4202938599,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBZM3%2BSl&awcharset=UTF-8,"Jindan, Hassan",05/12/2020 11:48 AM,05/19/2020 05:30 PM,RFP,,No,,,,,
Aramco_4202952362,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBcVnUop&awcharset=UTF-8,"Aldossary, Meaad",07/12/2020 09:52 AM,07/16/2020 07:30 PM,RFP,,No,,,,,
Aramco_4203019725,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB2c1Fqu&awcharset=UTF-8,"Dossary, Khalid",04/01/2021 04:42 PM,09/05/2021 04:00 PM,RFP,,No,,,,,
Aramco_4203010150,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB7O0vl5&awcharset=UTF-8,"Alharbi, Shahad",06/01/2021 09:27 AM,06/17/2021 04:00 PM,RFP,,No,,,,,
Aramco_4203006830,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB7T5%2ByD&awcharset=UTF-8,"Nassir, Ali",06/01/2021 10:54 AM,06/07/2021 07:30 PM,RFP,,No,,,,,
Aramco_4203012937,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB%2BC5nkS&awcharset=UTF-8,"Alqahtani, Asma",07/01/2021 02:46 PM,07/08/2021 07:30 PM,RFP,,No,,,,,
Aramco_4203013980,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPCBgiNl0&awcharset=UTF-8,"Alharbi, Shahad",08/01/2021 07:36 AM,08/16/2021 05:30 PM,RFP,,No,,,,,
Aramco_4203012642,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPCBc5Iwh&awcharset=UTF-8,"Alharbi, Shahad",08/01/2021 07:36 AM,07/12/2021 05:30 PM,RFP,,No,,,,,
Aramco_4203021294,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPClAfiIe&awcharset=UTF-8,"Muhaisin, Hind",11/01/2021 02:51 PM,10/27/2021 01:45 PM,RFP,,No,,,,,
Aramco_4203006329,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB5ijAdY&awcharset=UTF-8,"Alsaeedi, Tariq",05/02/2021 03:30 AM,05/19/2021 11:57 AM,RFP,,Yes,,,,,
Aramco_4203007840,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB7fydU8&awcharset=UTF-8,"Alsaeedi, Tariq",06/02/2021 10:21 AM,06/08/2021 07:30 PM,RFP,,No,,,,,
Aramco_4203002299,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPCAW7b%2BO&awcharset=UTF-8,"Alqahtani, Asma",08/02/2021 03:17 PM,08/09/2021 03:30 PM,RFP,,No,,,,,
Aramco_4203016837,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPCEtdcD%2B&awcharset=UTF-8,"Muhaisin, Hind",09/02/2021 11:16 AM,08/31/2021 05:30 PM,RFP,,No,,,,,
Aramco_4202993999,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB09%2BxVf&awcharset=UTF-8,"Alharbi, Shahad",03/03/2021 09:32 AM,03/04/2021 05:30 PM,RFP,,No,,,,,
Aramco_4202988339,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB05wpvK&awcharset=UTF-8,"Alharbi, Shahad",03/03/2021 02:02 PM,02/28/2021 06:00 PM,RFP,,No,,,,,
Aramco_4202998863,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB3XAbfX&awcharset=UTF-8,"Khan, Mohammad E",04/03/2021 01:45 PM,04/07/2021 04:00 PM,RFP,,No,,,,,
Aramco_4203005227,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB4woS8Q&awcharset=UTF-8,"Alqahtani, Asma",05/03/2021 01:58 PM,05/19/2021 05:30 PM,RFP,,Yes,,,,,
Aramco_4203016615,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPCAWzHOZ&awcharset=UTF-8,"Alqahtani, Asma",08/03/2021 10:01 AM,08/12/2021 07:30 PM,RFP,,No,,,,,
Aramco_4203035871,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPClALlp9&awcharset=UTF-8,"Muhaisin, Hind",11/03/2021 10:03 AM,01/09/2022 07:30 PM,RFP,,Yes,,,,,
Aramco_4203029875,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPClAgdXH&awcharset=UTF-8,"Muhaisin, Hind",11/03/2021 10:03 AM,11/23/2021 07:30 PM,RFP,,No,,,,,
Aramco_4203027592,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPClAk8tf&awcharset=UTF-8,"Muhaisin, Hind",11/03/2021 10:03 AM,11/03/2021 06:00 PM,RFP,,No,,,,,
Aramco_4203052607,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPCki82FQ&awcharset=UTF-8,"Muhaisin, Hind",11/03/2021 03:04 PM,05/23/2022 07:30 PM,RFP,,No,,,,,
Aramco_4202982190,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBtXDOZ8&awcharset=UTF-8,"Alsaeedi, Tariq",01/04/2021 11:09 AM,12/22/2020 07:30 PM,RFP,,No,,,,,
Aramco_4203061174,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB0kTh1c&awcharset=UTF-8,"Alqahtani, Asma",03/04/2021 07:41 AM,07/18/2022 07:30 PM,RFP,,Yes,,,,,
Aramco_4202987120,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB02r4an&awcharset=UTF-8,"Muhaisin, Hind",03/04/2021 03:22 PM,03/09/2021 04:00 PM,RFP,,No,,,,,
Aramco_4203004427,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB5V6RzL&awcharset=UTF-8,"Alqahtani, Asma",05/04/2021 09:17 AM,05/19/2021 04:00 PM,RFP,,No,,,,,
Aramco_4202987101,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB5hMdqE&awcharset=UTF-8,"Muhaisin, Hind",05/04/2021 02:37 PM,05/10/2021 12:00 PM,RFP,,No,,,,,
Aramco_4203016773,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB%2BBrA6%21&awcharset=UTF-8,"Muhaisin, Hind",07/04/2021 03:01 PM,08/12/2021 04:30 PM,RFP,,Yes,,,,,
Aramco_4202985953,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBteHbbb&awcharset=UTF-8,"Alharbi, Matar",01/05/2021 01:11 PM,01/12/2021 04:00 PM,RFP,,No,,,,,
Aramco_4202990360,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPBzJ6Rap&awcharset=UTF-8,"Alsaeedi, Tariq",02/05/2021 08:01 PM,02/10/2021 07:30 PM,RFP,,No,,,,,
Aramco_4202994573,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB02sN4H&awcharset=UTF-8,"Muhaisin, Hind",03/05/2021 05:45 PM,03/08/2021 05:30 PM,RFP,,Yes,,,,,
Aramco_4203012648,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPB%21LZdjm&awcharset=UTF-8,"Alharbi, Shahad",07/05/2021 11:17 AM,07/12/2021 05:30 PM,RFP,,No,,,,,
